,url,rarity,name,club,overall,price,position,vers_img,pace,shooting,passing,nation_img,league_img,club_img
13,https://www.fut.gg//players/194765-antoine-griezmann/24-50526413/,Trailblazers,Antoine Griezmann,Atlético de Madrid,89,"237,000",ST,https://game-assets.fut.gg/2024/rarities/22_e_0.png?quality=100&width=500,82,90,88,https://game-assets.fut.gg/2024/nations/18.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/53.1.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/240.png?quality=100&width=80
14,https://www.fut.gg//players/239053-federico-valverde/24-50570701/,Team of the Week,Federico Valverde,Real Madrid,89,"267,000",CM,https://game-assets.fut.gg/2024/rarities/3_e_3.png?quality=100&width=500,89,82,86,https://game-assets.fut.gg/2024/nations/60.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/53.1.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/243.png?quality=100&width=80
15,https://www.fut.gg//players/192318-mario-gotze/24-50523966/,UECL Road to the Knockouts,Mario Götze,Frankfurt,89,"37,000",CAM,https://game-assets.fut.gg/2024/rarities/105_e_0.png?quality=100&width=500,83,83,90,https://game-assets.fut.gg/2024/nations/21.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/19.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/1824.png?quality=100&width=80
16,https://www.fut.gg//players/203376-virgil-van-dijk/24-50535024/,Nike,Virgil van Dijk,Liverpool,89,"260,000",CB,https://game-assets.fut.gg/2024/rarities/182_e_0.png?quality=100&width=500,78,60,71,https://game-assets.fut.gg/2024/nations/34.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/13.1.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/9.png?quality=100&width=80
17,https://www.fut.gg//players/167425-abedi-pele/24-167425/,UT Heroes,Abedi Ayew,Ghana,89,"107,000",CAM,https://game-assets.fut.gg/2024/rarities/72_e_0.png?quality=100&width=500,91,83,87,https://game-assets.fut.gg/2024/nations/117.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/16.png?quality=100&width=80,
18,https://www.fut.gg//players/266690-lucio/24-266690/,UT Heroes,Lucimar da Silva Ferreira,Brazil,89,"645,000",CB,https://game-assets.fut.gg/2024/rarities/72_e_0.png?quality=100&width=500,82,72,74,https://game-assets.fut.gg/2024/nations/54.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/31.png?quality=100&width=80,
19,https://www.fut.gg//players/166676-rudi-voller/24-166676/,UT Heroes,Rudi Völler,Germany,89,"82,000",ST,https://game-assets.fut.gg/2024/rarities/72_e_0.png?quality=100&width=500,89,90,76,https://game-assets.fut.gg/2024/nations/21.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/19.png?quality=100&width=80,
20,https://www.fut.gg//players/191972-david-ginola/24-191972/,UT Heroes,David Ginola,France,89,"1,149,000",LM,https://game-assets.fut.gg/2024/rarities/72_e_0.png?quality=100&width=500,90,88,87,https://game-assets.fut.gg/2024/nations/18.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/16.png?quality=100&width=80,
21,https://www.fut.gg//players/261593-jurgen-kohler/24-261593/,UT Heroes,Jürgen Kohler,Germany,89,"39,000",CB,https://game-assets.fut.gg/2024/rarities/72_e_0.png?quality=100&width=500,71,51,63,https://game-assets.fut.gg/2024/nations/21.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/19.png?quality=100&width=80,
22,https://www.fut.gg//players/167134-jean-pierre-papin/24-167134/,UT Heroes,Jean-Pierre Papin,France,89,"40,250",ST,https://game-assets.fut.gg/2024/rarities/72_e_0.png?quality=100&width=500,83,93,73,https://game-assets.fut.gg/2024/nations/18.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/16.png?quality=100&width=80,
23,https://www.fut.gg//players/268513-jairzinho/24-268513/,Icon,Jair Ventura Filho,Icon,89,"1,220,000",RW,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,91,89,84,https://game-assets.fut.gg/2024/nations/54.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
24,https://www.fut.gg//players/238428-peter-schmeichel/24-238428/,Icon,Peter Schmeichel,Icon,89,"220,000",GK,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,46,89,86,https://game-assets.fut.gg/2024/nations/13.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
25,https://www.fut.gg//players/238384-carles-puyol/24-238384/,Icon,Carles Puyol Saforcada,Icon,89,"112,000",CB,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,72,46,66,https://game-assets.fut.gg/2024/nations/45.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
26,https://www.fut.gg//players/214267-gary-lineker/24-214267/,Icon,Gary Lineker,Icon,89,"67,500",ST,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,86,89,71,https://game-assets.fut.gg/2024/nations/14.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
27,https://www.fut.gg//players/190046-socrates/24-190046/,Icon,Sócrates Vieira de Oliveira,Icon,89,"125,000",CAM,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,82,88,89,https://game-assets.fut.gg/2024/nations/54.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
28,https://www.fut.gg//players/167198-eric-cantona/24-167198/,Icon,Eric Cantona,Icon,89,"386,000",CF,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,86,89,86,https://game-assets.fut.gg/2024/nations/18.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
29,https://www.fut.gg//players/166149-hugo-sanchez/24-166149/,Icon,Hugo Sánchez,Icon,89,"80,000",ST,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,89,90,78,https://game-assets.fut.gg/2024/nations/83.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
30,https://www.fut.gg//players/138449-kaka/24-138449/,Icon,Ricardo Izecson dos Santos Leite,Icon,89,"345,000",CAM,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,89,84,86,https://game-assets.fut.gg/2024/nations/54.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
31,https://www.fut.gg//players/121939-philipp-lahm/24-121939/,Icon,Philipp Lahm,Icon,89,"170,000",RB,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,84,68,83,https://game-assets.fut.gg/2024/nations/21.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
32,https://www.fut.gg//players/4833-hristo-stoichkov/24-4833/,Icon,Hristo Stoichkov,Icon,89,"296,000",ST,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,90,91,84,https://game-assets.fut.gg/2024/nations/9.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
33,https://www.fut.gg//players/1183-fabio-cannavaro/24-1183/,Icon,Fabio Cannavaro,Icon,89,"195,000",CB,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,80,44,62,https://game-assets.fut.gg/2024/nations/27.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
34,https://www.fut.gg//players/1088-alessandro-nesta/24-1088/,Icon,Alessandro Nesta,Icon,89,"169,000",CB,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,76,44,63,https://game-assets.fut.gg/2024/nations/27.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
35,https://www.fut.gg//players/1041-javier-zanetti/24-1041/,Icon,Javier Zanetti,Icon,89,"120,000",RB,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,83,60,84,https://game-assets.fut.gg/2024/nations/52.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
36,https://www.fut.gg//players/51-alan-shearer/24-51/,Icon,Alan Shearer,Icon,89,"73,000",ST,https://game-assets.fut.gg/2024/rarities/12_e_0.png?quality=100&width=500,82,91,76,https://game-assets.fut.gg/2024/nations/14.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
37,https://www.fut.gg//players/233700-gianluca-vialli/24-233700/,UT Heroes,Gianluca Vialli,Italy,89,"34,750",ST,https://game-assets.fut.gg/2024/rarities/72_e_0.png?quality=100&width=500,86,89,72,https://game-assets.fut.gg/2024/nations/27.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/31.png?quality=100&width=80,
38,https://www.fut.gg//players/212831-alisson/24-212831/,Rare,Alisson Ramses Becker,Liverpool,89,"35,000",GK,https://game-assets.fut.gg/2024/rarities/1_e_3.png?quality=100&width=500,55,86,85,https://game-assets.fut.gg/2024/nations/54.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/13.1.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/9.png?quality=100&width=80
39,https://www.fut.gg//players/231866-rodri/24-231866/,Rare,Rodrigo Hernández Cascante,Manchester City,89,"34,750",CDM,https://game-assets.fut.gg/2024/rarities/1_e_3.png?quality=100&width=500,58,73,80,https://game-assets.fut.gg/2024/nations/45.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/13.1.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/10.png?quality=100&width=80
40,https://www.fut.gg//players/239818-ruben-dias/24-239818/,Rare,Rúben Santos Gato Alves Dias,Manchester City,89,"34,500",CB,https://game-assets.fut.gg/2024/rarities/1_e_3.png?quality=100&width=500,62,39,66,https://game-assets.fut.gg/2024/nations/38.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/13.1.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/10.png?quality=100&width=80
41,https://www.fut.gg//players/227310-ada-martine-stolsmo-hegerberg/24-227310/,Rare,Ada Martine Stolsmo Hegerberg,OL,89,"35,000",ST,https://game-assets.fut.gg/2024/rarities/1_e_3.png?quality=100&width=500,75,89,77,https://game-assets.fut.gg/2024/nations/36.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2218.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/116033.png?quality=100&width=80
42,https://www.fut.gg//players/238794-vinicius-jr/24-238794/,Rare,Vinícius José de Oliveira Júnior,Real Madrid,89,"257,000",LW,https://game-assets.fut.gg/2024/rarities/1_e_3.png?quality=100&width=500,95,82,78,https://game-assets.fut.gg/2024/nations/54.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/53.1.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/243.png?quality=100&width=80
43,https://www.fut.gg//players/203376-virgil-van-dijk/24-203376/,Rare,Virgil van Dijk,Liverpool,89,"64,000",CB,https://game-assets.fut.gg/2024/rarities/1_e_3.png?quality=100&width=500,78,60,71,https://game-assets.fut.gg/2024/nations/34.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/13.1.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/9.png?quality=100&width=80
44,https://www.fut.gg//players/209331-mohamed-salah/24-209331/,Rare,Mohamed Salah,Liverpool,89,"35,000",RW,https://game-assets.fut.gg/2024/rarities/1_e_3.png?quality=100&width=500,89,87,81,https://game-assets.fut.gg/2024/nations/111.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/13.1.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/9.png?quality=100&width=80
45,https://www.fut.gg//players/190871-neymar-jr/24-190871/,Rare,Neymar da Silva Santos Jr.,Al Hilal,89,"35,500",LW,https://game-assets.fut.gg/2024/rarities/1_e_3.png?quality=100&width=500,86,83,85,https://game-assets.fut.gg/2024/nations/54.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/350.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/605.1.png?quality=100&width=80
46,https://www.fut.gg//players/266928-trinity-rodman/24-67375792/,Future Stars,Trinity Rodman,Washington Spirit W,88,"1,135,000",RW,https://game-assets.fut.gg/2024/rarities/71_e_0.png?quality=100&width=500,96,86,83,https://game-assets.fut.gg/2024/nations/95.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2221.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/116304.png?quality=100&width=80
47,https://www.fut.gg//players/262138-castello-lukeba/24-50593786/,Future Stars,Castello Lukeba,RB Leipzig,88,"225,000",CB,https://game-assets.fut.gg/2024/rarities/71_e_0.png?quality=100&width=500,86,56,82,https://game-assets.fut.gg/2024/nations/18.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/19.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/112172.png?quality=100&width=80
48,https://www.fut.gg//players/247635-khvicha-kvaratskhelia/24-100910931/,Team of the Week,Khvicha Kvaratskhelia,Napoli FC,88,"38,250",LW,https://game-assets.fut.gg/2024/rarities/3_e_3.png?quality=100&width=500,88,84,83,https://game-assets.fut.gg/2024/nations/20.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/31.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/116365.1.png?quality=100&width=80
49,https://www.fut.gg//players/237692-phil-foden/24-84123772/,Team of the Week,Phil Foden,Manchester City,88,"37,000",LM,https://game-assets.fut.gg/2024/rarities/3_e_3.png?quality=100&width=500,87,84,88,https://game-assets.fut.gg/2024/nations/14.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/13.1.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/10.png?quality=100&width=80
